root_id,n_tweets,n_inbound,n_outbound
47273,4,3,1
47342,3,2,1
47372,17,10,7
47407,4,2,2
47413,2,1,1
47421,4,2,2
47436,10,5,5
47461,2,1,1
47467,6,3,3
47479,5,3,2
47508,2,1,1
47517,5,3,2
47524,4,2,2
47617,5,3,2
47631,5,3,2
47700,7,4,3
47741,2,1,1
47766,2,1,1
47768,2,1,1
47899,4,2,2
47905,6,3,3
47924,2,1,1
47938,26,13,13
47991,4,2,2
48062,7,2,5
48091,13,7,6
48108,9,5,4
48141,3,2,1
48322,2,1,1
48351,3,2,1
48359,5,2,3
48455,2,1,1
48480,10,5,5
48482,2,1,1
48513,8,4,4
48528,6,2,4
48553,11,5,6
48617,2,1,1
48626,2,1,1
48666,4,2,2
48672,10,5,5
48691,2,1,1
48710,2,1,1
48760,6,3,3
48791,25,10,15
48802,2,1,1
48827,2,1,1
48835,2,1,1
48849,4,2,2
48883,2,1,1
48885,2,1,1
48923,15,10,5
48940,7,3,4
48954,2,1,1
48976,2,1,1
49026,2,1,1
49058,2,1,1
49083,2,1,1
49118,7,3,4
49161,2,1,1
49175,2,1,1
49219,7,4,3
49244,2,1,1
49270,2,1,1
49289,7,5,2
49400,4,2,2
49425,3,1,2
49445,2,1,1
49448,4,2,2
49452,6,3,3
49542,3,1,2
49550,4,2,2
49566,4,2,2
49635,5,3,2
49639,2,1,1
49654,2,1,1
49667,3,1,2
49760,3,2,1
49793,4,2,2
49815,2,1,1
49825,2,1,1
49867,2,1,1
49895,4,2,2
49904,3,2,1
49999,2,1,1
50005,2,1,1
50108,2,1,1
50130,2,1,1
50204,4,2,2
50221,4,3,1
50225,2,1,1
50295,4,2,2
50297,2,1,1
50300,3,2,1
50311,9,4,5
50322,4,2,2
50346,2,1,1
50348,2,1,1
50353,5,3,2
50412,4,1,3
50429,4,2,2
50436,4,2,2
50442,3,2,1
50552,4,2,2
50623,3,2,1
50663,4,2,2
50678,3,2,1
50690,2,1,1
50757,5,3,2
50829,4,2,2
50833,4,2,2
50855,6,4,2
50860,2,1,1
50875,4,2,2
50923,2,1,1
50925,2,1,1
50944,2,1,1
50961,2,1,1
50981,2,1,1
50990,2,1,1
51017,3,2,1
